Date;CallsOffered;CallsHandled;CallsAbandoned;AverageSpeedofAnswer;ServiceLevel;BI_ID
2024-08-31;418;399;17;25.421052631579;0.826829268292683;1
2024-08-30;1059;975;72;70.4666666666667;0.712223291626564;2
2024-08-29;1118;1086;27;22.8766114180479;0.870036101083033;3
2024-08-28;1129;1058;65;52.1361058601134;0.754068716094033;4
2024-08-27;1204;1134;61;65.505291005291;0.733898305084746;5
2024-08-26;1223;1148;66;50.9520905923345;0.730092204526404;6
2024-08-25;331;294;34;102.517006802721;0.640378548895899;7
2024-08-24;404;378;24;48.0793650793651;0.789873417721519;8
2024-08-23;995;945;38;55.2243386243386;0.737166324435318;9
2024-08-22;1168;1125;37;31.6737777777778;0.843614248479583;10
2024-08-21;1068;981;70;92.0958205912334;0.625719769673705;11
2024-08-20;1130;1033;84;73.3659244917715;0.705510388437218;12
2024-08-19;1202;1103;83;96.4460562103354;0.653026427962489;13
2024-08-18;321;315;8;10.8380952380952;0.924290220820189;14
2024-08-17;452;412;35;49.3932038834952;0.76993166287016;15
2024-08-16;1121;1050;58;52.7238095238095;0.708409506398538;16
2024-08-15;1302;1223;69;48.9443990188062;0.740188383045526;17
2024-08-14;1396;1287;94;59.2501942501943;0.691111111111111;18
2024-08-13;1352;1263;73;62.0261282660333;0.735719725818736;19
2024-08-12;1436;1312;96;103.074695121951;0.592964824120603;20
2024-08-11;449;414;32;57.5193236714976;0.750566893424036;21
2024-08-10;436;416;19;33.7139423076923;0.818604651162791;22
2024-08-09;1414;1223;158;171.208503679477;0.500367917586461;23
2024-08-08;1394;1300;80;86.07;0.636630036630037;24
2024-08-07;1308;1171;111;126.738684884714;0.625491738788356;25
2024-08-06;1573;1362;164;175.308370044053;0.498678996036988;26
2024-08-05;569;528;38;25.4204545454545;0.833935018050542;27
2024-08-04;418;388;30;43.7087628865979;0.775609756097561;28
2024-08-03;516;497;19;26.2334004024145;0.84251968503937;29
2024-08-02;1139;1008;102;137.467261904762;0.534591194968553;30
2024-08-01;1269;1176;83;52.9183673469388;0.730300568643379;31
2024-07-31;1252;1181;57;45.6562235393734;0.76120619396903;32
2024-07-30;1380;1288;78;57.9596273291926;0.740768094534712;33
2024-07-29;1563;1426;116;73.4495091164096;0.670634920634921;34
2024-07-28;359;345;12;32.0521739130435;0.849431818181818;35
2024-07-27;516;494;21;29.6599190283401;0.811764705882353;36
2024-07-26;1337;1219;104;79.7522559474979;0.664092664092664;37
2024-07-25;1411;1251;129;133.106314948042;0.591240875912409;38
2024-07-24;1515;1369;119;97.3615777940102;0.639891082368959;39
2024-07-23;1692;1409;243;235.299503193754;0.42473454091193;40
2024-07-22;1683;1426;201;214.606591865358;0.452012383900929;41
2024-07-21;369;344;23;35.875;0.783333333333333;42
2024-07-20;592;568;16;38.75;0.813356164383562;43
2024-07-19;1510;1306;173;210.320826952527;0.541752933057281;44
2024-07-18;1292;1159;118;95.5737704918033;0.60415003990423;45
2024-07-17;1354;1294;42;39.8214837712519;0.798798798798799;46
2024-07-16;1310;1244;56;48.2025723472669;0.767369242779079;47
2024-07-15;1514;1372;125;87.7026239067055;0.61826857532379;48
2024-07-14;379;372;7;15.6666666666667;0.914893617021277;49
2024-07-13;467;445;22;23.6651685393258;0.881057268722467;50
2024-07-12;1188;1049;113;109.224976167779;0.600697471665214;51
2024-07-11;1290;1183;89;72.9247675401522;0.684713375796178;52
2024-07-10;1356;1271;75;48.8072383949646;0.768181818181818;53
2024-07-09;1326;1162;143;129.382960413081;0.562255285826155;54
2024-07-08;1357;1168;164;153.6875;0.48727833461835;55
2024-07-07;413;381;32;53.5249343832021;0.73134328358209;56
2024-07-06;570;534;28;29.3539325842697;0.829136690647482;57
2024-07-05;1327;1220;88;57.605737704918;0.72960372960373;58
2024-07-04;1557;1467;72;49.7505112474438;0.758327890267799;59
2024-07-03;1745;1701;37;20.3803644914756;0.888115942028986;60
2024-07-02;1854;1676;150;133.341288782816;0.596432552954292;61
2024-07-01;533;519;6;6.06551059730251;0.93168880455408;62
2024-06-30;377;369;7;18.2439024390244;0.897849462365591;63
2024-06-29;489;476;8;20.7205882352941;0.878850102669405;64
2024-06-28;1559;1441;82;61.794587092297;0.672357189757058;65
2024-06-27;1607;1511;78;51.4890800794176;0.751750477402928;66
2024-06-26;1576;1455;91;62.8646048109966;0.72568093385214;67
2024-06-25;1497;1388;95;56.6030259365994;0.745879120879121;68
2024-06-24;1572;1441;103;84.9611380985427;0.642483660130719;69
2024-06-23;374;317;56;78.8832807570978;0.65266106442577;70
2024-06-22;475;448;21;43.3995535714286;0.803837953091685;71
2024-06-21;1344;1257;73;30.4868735083532;0.798158096699923;72
2024-06-20;1492;1399;69;42.4295925661187;0.765913757700205;73
2024-06-19;1323;1247;64;45.9799518845229;0.77760736196319;74
2024-06-18;1389;1305;60;49.2521072796935;0.764144011756062;75
2024-06-17;1594;1504;66;50.9847074468085;0.746649649010849;76
2024-06-16;274;272;1;7.30514705882353;0.948717948717949;77
2024-06-15;482;459;22;26.0566448801743;0.820295983086681;78
2024-06-14;1512;1459;44;29.7025359835504;0.827400940228341;79
2024-06-13;1440;1386;41;30.6803751803752;0.809992962702322;80
2024-06-12;1411;1343;54;46.204765450484;0.762834417932032;81
2024-06-11;1505;1409;81;56.2200141944642;0.716519374575119;82
2024-06-10;1503;1423;69;54.4019676739283;0.71728813559322;83
2024-06-09;405;380;24;35.7710526315789;0.793893129770992;84
2024-06-08;525;501;19;27.8582834331337;0.839080459770115;85
2024-06-07;1378;1262;95;59.2440570522979;0.722470238095238;86
2024-06-06;1426;1379;36;34.9499637418419;0.823027718550107;87
2024-06-05;1485;1422;55;33.07805907173;0.809458533241947;88
2024-06-04;1564;1494;58;35.04953145917;0.799089726918076;89
2024-06-03;1765;1669;81;58.4751348112642;0.715442452284558;90
